,Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,Unnamed: 16,Unnamed: 17,Unnamed: 18,sentiment
0,1378654719166529540,"RT @MAhealthforkids : It’s not only #pediatricians &amp; #nurses who can make a difference in busting #Vaccine myths. We all have family members, coworkers  &amp; neighbors whom we can provide information WITHOUT stigmatizing or offending. 

https://t.co/CpoiX5lymz https://t.co/BQmqXxWu7W","Cathryn Hampson, MSN, RN, NCSN",cathryn_hampson,2021-04-04T10:24:33.000Z,Sun Apr 04 10:24:33 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://debeaumont.org/changing-the-covid-conversation/covidperceptions/ ,3,0,photo,https://pbs.twimg.com/media/Ex-94FvWQAkYAIJ.jpg,,,,1
1,1378654639214768129,"RT @ger_majesty : I was so angry I made a sketch. ""Schools ARE Safe"" #COVID19ireland #covid19 #edchatie #NPHET #protest #schools #vaccine #hse @NormaFoleyTD1 @DonnellyStephen @LeoVaradkar https://t.co/GJrrpDrldX",Katrina Doherty,Katrinadoherty,2021-04-04T10:24:14.000Z,Sun Apr 04 10:24:14 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://youtu.be/DxwPMBZSLOQ ,8,3,,,,,,0
2,1378654614539665412,"RT @SteveCameronPr1 : Former #Jeopardy contestant #SaraHolub  dies 4 days after getting #Covid19 #vaccine 
https://t.co/6ZN6AqTKSn
Sara's Facebook page, and last post announcing her Covid-19 vaccination on March 22, 2021
https://t.co/zsICAL7GRC https://t.co/7L8JgMQ9nk",Carly G Jeffries,Shasha1960G,2021-04-04T10:24:08.000Z,Sun Apr 04 10:24:08 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,https://www.greenbaypressgazette.com/story/news/2021/03/30/preble-high-choir-director-teacher-distinction-sara-holub-dies/7028057002/ https://www.facebook.com/valposara ,4,0,photo,https://pbs.twimg.com/media/EyAN28IVgAEe4Hp.jpg,,,,1
3,1378654597057638402,RT @hotvickkrishna : How the mRNA Vaccine (Moderna/Pfizer) works #Pfizer #Moderna #vaccinated #vaccine  #VaccinesWork #COVIDー19 #coronavirus #mRNA https://t.co/vEXOBKfGMc,Kawal Oberoi,TheKawalOberoi,2021-04-04T10:24:04.000Z,Sun Apr 04 10:24:04 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,8,0,video,https://video.twimg.com/ext_tw_video/1374481300095037441/pu/vid/720x900/OhN1V3jmiqLtDkH5.mp4?tag=12,,,,1
4,1378654537033117698,RT @hotvickkrishna : How the mRNA Vaccine (Moderna/Pfizer) works #Pfizer #Moderna #vaccinated #vaccine  #VaccinesWork #COVIDー19 #coronavirus #mRNA https://t.co/vEXOBKfGMc,Sanghmitra Hitaishi,sanghmitrahit20,2021-04-04T10:23:50.000Z,Sun Apr 04 10:23:50 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,8,0,video,https://video.twimg.com/ext_tw_video/1374481300095037441/pu/vid/720x900/OhN1V3jmiqLtDkH5.mp4?tag=12,,,,1
5,1378654481886277634,"RT @INCMohitJain : @RahulGandhi के बार बार चेताने के बाद,देश से #21_दिन में #Corona ख़त्म करने वादा करके प्रधानमंत्री @narendramodi #ताली_थाली पिटवाने के बाद #CoronaWarriors को राम भरोसे छोड़ #Vaccine और #Ventilators #PPEKit और #PMFund गोल करने के बाद ......? @LambaAlka 

https://t.co/CqqCNkusPQ",fojila,fojila,2021-04-04T10:23:37.000Z,Sun Apr 04 10:23:37 +0000 2021,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,8,3,video,https://video.twimg.com/amplify_video/1378642895767437314/pl/dlbGzrI_lppOlbUB.m3u8?tag=14,,,,1
6,1378654454082338816,"RT @Daily_Express : #Covid nightmare: #vaccine panic as NEW #Brazil variant 'alters itself to defeat antibodies'

https://t.co/mowe6lONIG",Emi Sadwing 💜🐶🇲🇽 #YoMeQuedoEnCasa,emalatris,2021-04-04T10:23:30.000Z,Sun Apr 04 10:23:30 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.express.co.uk/news/world/1418867/covid-variant-brazil-coronavirus-vaccine-latest-P2-brazil-variant ,3,0,,,,,,0
7,1378654361191071744,"RT @Redpainter1 : I fully support your right to not get the COVID vaccine.

I also fully support businesses, schools, sporting events, movie theaters and transporation companies denying you entry if you choose not to get vaccinated.

#COVID #Vaccine #Choice",Donald,Notradiofan,2021-04-04T10:23:08.000Z,Sun Apr 04 10:23:08 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,3,0,,,,,,1
8,1378654349300228100,#coronahoax #vaccine #GermTheory https://t.co/nNCJ6dld8L,Dr Chancer,_chancer_,2021-04-04T10:23:05.000Z,Sun Apr 04 10:23:05 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,https://twitter.com/sdaws5MUFC/status/1378308469321826306 ,3,0,,,,,,1
9,1378654246283964418,"RT @FreedomSpeakerX : So again covid has invisible boundaries, masses can gather at a pub with no proof of vaccination but it’s needed for sports events etc. Sick of this BS and 🤡🤡 running our lives #covidpassport #orwellian country #vaccine https://t.co/hZpqclMPXk",Michael Barritt,michael_barritt,2021-04-04T10:22:41.000Z,Sun Apr 04 10:22:41 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://apple.news/AKMBWZyjXT_Sm2Lcq_Bu6QA ,3,0,,,,,,0
